gen,inst,n,stop_reason,best_objective,coverage,time_taken
1,1,200,time_limit,4614.250000000012,1.0,1800.1057393001392
1,2,200,time_limit,4668.0700000000215,1.0,1800.0599821999203
1,3,50,time_limit,645.6199999999995,1.0,1800.0017262001056
1,4,25,time_limit,261.06,1.0,1800.000129400054
1,5,100,time_limit,1525.4800000000012,1.0,1800.0075252000242
2,1,50,time_limit,575.8700000000005,1.0,1800.0003898001742
2,2,400,time_limit,14472.63999999999,1.0,1801.6514275998343
2,3,25,time_limit,210.16000000000005,1.0,1800.0002395999618
2,4,400,time_limit,13589.310000000041,1.0,1800.8696057000197
2,5,100,time_limit,1550.4900000000025,1.0,1800.010133499978
3,1,400,time_limit,238058.8700000004,1.0,1800.338211499853
3,2,100,time_limit,14887.430000000013,1.0,1800.0082265997771
3,3,200,time_limit,59765.97000000021,1.0,1800.0844967998564
3,4,25,time_limit,981.0499999999995,1.0,1800.0002433001064
3,5,25,time_limit,766.71,1.0,1800.000176299829
