gen,inst,n,stop_reason,best_objective,coverage,time_taken
1,1,200,time_limit,4614.250000000007,1.0,1800.0378962000832
1,2,200,time_limit,4668.070000000009,1.0,1800.0756464998703
1,3,50,time_limit,645.6200000000005,1.0,1800.0005768998526
1,4,25,time_limit,658.210000000003,1.0,1800.0008372000884
1,5,100,time_limit,1525.480000000003,1.0,1800.0147172999568
2,1,50,time_limit,575.8700000000011,1.0,1800.0010587000288
2,2,400,time_limit,14458.83999999995,1.0,1800.1557456001174
2,3,25,time_limit,210.1600000000001,1.0,1800.0001887001563
2,4,400,time_limit,13589.69000000008,1.0,1801.0914521999657
2,5,100,time_limit,1550.4900000000025,1.0,1800.0023908999283
3,1,400,time_limit,274476.3999999989,1.0,1800.2009543001186
3,2,100,time_limit,46300.72000000014,1.0,1800.015975000104
3,3,200,time_limit,90443.14999999788,1.0,1800.0512534999289
3,4,25,time_limit,6298.980000000055,1.0,1800.000746899983
3,5,25,time_limit,1567.500000000003,1.0,1800.000637799967
