gen,inst,n,stop_reason,best_objective,coverage,time_taken
1,1,200,time_limit,4614.250000000011,1.0,1800.1589465998113
1,2,200,time_limit,4668.070000000016,1.0,1800.019814700121
1,3,50,time_limit,645.6200000000002,1.0,1800.0001982999966
1,4,25,time_limit,261.06000000000023,1.0,1800.0004770997912
1,5,100,time_limit,1525.4800000000046,1.0,1800.012284899829
2,1,50,time_limit,575.8700000000013,1.0,1800.0012494998518
2,2,400,time_limit,14468.689999999948,1.0,1800.7124095000327
2,3,25,time_limit,210.1600000000001,1.0,1800.0003436999395
2,4,400,time_limit,13574.220000000054,1.0,1801.5377229999285
2,5,100,time_limit,1550.4900000000027,1.0,1800.0178909001406
3,1,400,time_limit,238058.8699999988,1.0,1800.1536015998572
3,2,100,time_limit,14887.430000000058,1.0,1800.0018885999452
3,3,200,time_limit,59765.970000000154,1.0,1800.0188922998495
3,4,25,time_limit,981.0500000000003,1.0,1800.0002252999693
3,5,25,time_limit,766.7100000000011,1.0,1800.000087800203
