gen,inst,n,stop_reason,best_objective,coverage,time_taken
1,1,200,time_limit,4614.250000000015,1.0,1800.1689703001175
1,2,200,time_limit,4668.070000000021,1.0,1800.0217860999983
1,3,50,time_limit,645.6200000000005,1.0,1800.0011751998682
1,4,25,time_limit,261.06000000000023,1.0,1800.0000459000003
1,5,100,time_limit,1525.480000000003,1.0,1800.016155200079
2,1,50,time_limit,575.8700000000013,1.0,1800.002180099953
2,2,400,time_limit,14443.559999999989,1.0,1801.455811599968
2,3,25,time_limit,210.1600000000001,1.0,1800.0002969000489
2,4,400,time_limit,13589.090000000064,1.0,1801.414089599857
2,5,100,time_limit,1550.4900000000023,1.0,1800.015394499991
3,1,400,time_limit,238058.8699999989,1.0,1800.0370595999993
3,2,100,time_limit,14887.430000000062,1.0,1800.0106164000463
3,3,200,time_limit,59765.970000000285,1.0,1800.0391520999838
3,4,25,time_limit,981.05,1.0,1800.0001842000056
3,5,25,time_limit,766.7100000000011,1.0,1800.0003009000793
