gen,inst,n,stop_reason,best_objective,coverage,time_taken
1,1,200,time_limit,4597.039999999995,1.0,1800.0559674000833
1,2,200,time_limit,4636.850000000011,1.0,1800.1089008999988
1,3,50,time_limit,645.6200000000005,1.0,1800.0018966000061
1,4,25,time_limit,261.0600000000003,1.0,1800.0000064000487
1,5,100,time_limit,1525.4800000000016,1.0,1800.0436524001416
2,1,50,time_limit,575.870000000001,1.0,1800.0059089001734
2,2,400,time_limit,14268.339999999966,1.0,1800.0880384999327
2,3,25,time_limit,210.16000000000014,1.0,1800.000163000077
2,4,400,time_limit,13389.950000000093,1.0,1800.2315907999873
2,5,100,time_limit,1550.4900000000005,1.0,1800.0190711000469
3,1,400,time_limit,238058.8699999992,1.0,1800.0064562000334
3,2,100,time_limit,14887.430000000044,1.0,1800.0001474998426
3,3,200,time_limit,59765.970000000205,1.0,1800.002209099941
3,4,25,time_limit,981.0499999999995,1.0,1800.0000146001112
3,5,25,time_limit,766.7100000000002,1.0,1800.000024100067
